user,hit,tier,history_length,n_targets,n_candidates,category_match,level_match,mean_target_popularity_rank,mean_recommended_popularity_rank
U00003,False,moderate,8,3,52,True,True,50.666666666666664,12.5
U00004,False,rich,11,2,49,True,True,28.5,16.5
U00005,False,minimal,1,1,59,False,False,51.0,22.0
U00013,True,rich,10,4,50,True,True,22.5,11.9
U00015,True,rich,9,5,51,True,True,37.6,14.7
U00017,False,moderate,2,1,58,False,False,26.0,23.0
U00018,True,rich,12,4,48,True,True,14.25,10.9
U00028,False,rich,11,1,49,True,True,32.0,10.5
U00037,True,minimal,1,1,59,False,True,16.0,22.3
U00045,False,rich,13,1,47,False,True,52.0,11.4
U00046,False,minimal,1,1,59,False,False,47.0,22.7
U00048,True,rich,11,2,49,True,True,9.5,12.0
U00055,False,rich,14,2,46,True,True,34.5,12.9
U00060,True,moderate,2,2,58,False,True,18.0,9.5
U00071,False,rich,12,2,48,True,True,45.0,14.9
U00074,True,minimal,1,2,59,True,True,21.0,22.7
U00076,False,moderate,3,1,57,False,True,40.0,20.7
U00083,False,rich,10,5,50,True,True,32.8,9.1
U00085,False,rich,10,3,50,True,True,27.0,9.5
U00086,False,moderate,3,1,57,False,False,50.0,23.2
U00096,False,moderate,3,1,57,True,True,45.0,22.7
U00109,True,rich,10,4,50,True,True,28.75,13.0
U00112,True,rich,9,5,51,True,True,30.8,16.9
U00117,True,rich,10,3,50,True,True,30.666666666666668,14.0
U00121,False,minimal,1,1,59,False,False,23.0,24.4
U00122,False,minimal,1,1,59,False,False,40.0,24.0
U00123,False,minimal,1,1,59,False,False,17.0,25.0
U00126,True,rich,12,2,48,True,True,12.0,14.3
U00128,False,rich,11,2,49,True,True,25.0,12.6
U00133,True,rich,11,3,49,True,True,19.0,11.1
U00134,True,rich,9,5,51,True,True,25.0,10.8
U00137,False,minimal,1,1,59,False,False,48.0,21.7
U00139,False,moderate,3,1,57,False,True,9.0,22.7
U00144,False,rich,10,3,50,True,True,25.0,11.7
U00147,True,moderate,8,4,52,True,True,25.25,13.3
U00149,False,rich,9,1,51,True,True,20.0,13.2
U00150,False,minimal,1,1,59,False,False,28.0,21.2
U00152,True,moderate,7,5,53,True,True,38.2,13.6
U00153,False,minimal,1,1,59,False,False,21.0,22.7
U00157,False,minimal,1,1,59,False,False,52.0,23.3
U00161,False,rich,10,1,50,True,True,16.0,13.9
U00166,False,moderate,8,7,52,True,True,30.285714285714285,13.6
U00169,False,rich,11,2,49,True,True,48.5,13.7
U00173,True,rich,13,1,47,False,True,1.0,11.4
U00177,True,rich,11,3,49,True,True,28.0,9.8
U00178,False,rich,10,4,50,True,True,35.25,14.8
U00179,False,minimal,1,1,59,False,False,11.0,22.1
U00186,True,minimal,1,1,59,False,True,39.0,22.1
U00191,False,rich,11,1,49,True,True,39.0,10.7
U00192,False,rich,10,4,50,True,True,39.0,12.0
U00198,True,rich,10,2,50,True,True,13.5,10.7
U00200,True,moderate,3,1,57,True,True,47.0,23.8
U00207,False,minimal,1,1,59,False,False,55.0,22.8
U00208,False,rich,11,4,49,True,True,22.5,17.4
U00216,True,rich,11,5,49,True,True,23.0,13.9
U00220,False,rich,12,3,48,True,True,35.666666666666664,15.0
U00238,False,rich,9,6,51,True,True,30.166666666666668,11.3
U00251,True,moderate,7,6,53,True,True,33.166666666666664,9.5
U00260,False,rich,14,1,46,True,True,8.0,10.7
U00263,False,moderate,2,2,58,False,True,19.0,22.7
U00264,True,moderate,2,1,58,False,True,45.0,25.4
U00265,False,rich,13,1,47,False,True,51.0,10.3
U00272,False,rich,11,2,49,False,True,26.0,10.8
U00282,False,rich,11,3,49,True,True,23.333333333333332,9.5
U00286,False,moderate,2,1,58,False,True,13.0,9.5
