UserID,cluster
U00002,0
U00003,1
U00004,1
U00005,2
U00007,3
U00008,3
U00009,2
U00010,0
U00011,2
U00012,2
U00013,1
U00014,2
U00015,1
U00016,2
U00017,0
U00018,1
U00020,0
U00021,2
U00022,0
U00023,0
U00024,3
U00025,2
U00027,2
U00028,1
U00029,3
U00032,0
U00033,2
U00034,0
U00035,2
U00037,2
U00038,3
U00039,2
U00040,0
U00041,0
U00043,0
U00044,0
U00045,1
U00046,0
U00047,3
U00048,1
U00049,3
U00050,2
U00051,0
U00052,2
U00054,0
U00055,1
U00056,2
U00057,2
U00058,2
U00059,0
U00060,1
U00061,3
U00063,0
U00064,2
U00065,2
U00066,0
U00068,3
U00069,2
U00070,3
U00071,1
U00072,3
U00073,2
U00074,0
U00076,0
U00077,3
U00078,3
U00079,0
U00080,0
U00081,2
U00082,0
U00083,1
U00084,0
U00085,1
U00086,2
U00087,3
U00088,0
U00089,3
U00092,2
U00093,0
U00094,0
U00095,0
U00096,0
U00097,2
U00098,2
U00099,0
U00100,0
U00101,3
U00102,0
U00103,2
U00105,0
U00107,0
U00108,2
U00109,1
U00111,0
U00112,1
U00113,2
U00114,2
U00115,3
U00116,2
U00117,1
U00118,2
U00119,2
U00120,0
U00121,2
U00122,3
U00123,0
U00124,2
U00125,2
U00126,1
U00127,2
U00128,1
U00129,3
U00130,0
U00133,1
U00134,1
U00135,3
U00136,2
U00137,2
U00138,2
U00139,0
U00140,0
U00141,0
U00142,0
U00143,2
U00144,1
U00145,0
U00147,1
U00148,3
U00149,1
U00150,3
U00151,0
U00152,1
U00153,0
U00154,0
U00155,0
U00156,2
U00157,3
U00158,0
U00159,0
U00161,1
U00162,2
U00163,3
U00164,1
U00165,3
U00166,1
U00168,3
U00169,1
U00170,0
U00171,1
U00173,1
U00175,0
U00176,0
U00177,1
U00178,1
U00179,3
U00180,3
U00182,3
U00183,3
U00184,2
U00185,2
U00186,3
U00187,0
U00189,2
U00190,2
U00191,1
U00192,1
U00193,2
U00194,3
U00195,2
U00196,3
U00197,3
U00198,1
U00199,3
U00200,2
U00201,2
U00203,0
U00204,2
U00205,3
U00206,3
U00207,0
U00208,1
U00209,2
U00210,2
U00211,0
U00212,0
U00213,0
U00215,3
U00216,1
U00217,2
U00218,3
U00219,0
U00220,1
U00222,2
U00223,3
U00225,3
U00227,0
U00229,2
U00231,2
U00232,2
U00234,2
U00235,1
U00238,1
U00239,0
U00240,2
U00241,0
U00242,2
U00243,2
U00244,2
U00245,0
U00246,0
U00247,2
U00248,2
U00249,0
U00250,3
U00251,1
U00252,2
U00253,3
U00254,0
U00255,3
U00256,0
U00259,3
U00260,1
U00263,0
U00264,3
U00265,1
U00266,2
U00267,1
U00268,3
U00269,3
U00270,2
U00271,0
U00272,1
U00273,0
U00274,2
U00276,0
U00277,2
U00278,0
U00279,2
U00280,0
U00281,3
U00282,1
U00283,0
U00284,3
U00285,2
U00286,1
U00287,2
U00288,3
U00289,2
U00290,2
U00291,2
U00292,1
U00293,1
U00294,3
U00295,0
U00296,2
U00297,0
U00298,1
U00301,1
U00302,2
U00303,1
U00304,0
U00307,3
U00308,0
U00309,3
U00310,1
U00311,2
U00312,3
U00313,3
U00314,0
U00315,1
U00316,0
U00317,2
U00319,2
U00320,0
U00321,1
U00322,1
U00323,1
U00324,0
U00325,2
U00326,0
U00327,3
U00328,1
U00329,1
U00330,1
U00331,2
U00332,2
U00333,2
U00334,1
U00335,0
U00337,3
U00338,1
U00339,1
U00340,1
U00341,2
U00342,3
U00343,0
U00344,3
U00345,1
U00346,3
U00347,2
U00348,0
U00349,0
U00350,0
U00351,1
U00352,1
U00353,1
U00354,1
U00356,1
U00357,1
U00358,3
U00359,0
U00360,3
U00361,3
U00362,1
U00364,0
U00365,1
U00366,0
U00367,2
U00368,2
U00369,2
U00370,3
U00371,3
U00372,2
U00376,0
U00377,2
U00378,2
U00379,1
U00380,2
U00381,2
U00382,0
U00383,1
U00384,0
U00385,3
U00386,0
U00387,2
U00388,3
U00390,1
U00391,3
U00392,0
U00393,0
U00394,1
U00397,2
U00398,0
U00399,1
U00400,2
U00401,0
U00402,2
U00403,3
U00404,1
U00405,2
U00406,1
U00407,1
U00408,2
U00409,2
U00411,1
U00412,2
U00413,0
U00414,2
U00415,1
U00416,0
U00417,0
U00418,2
U00419,2
U00420,0
U00422,2
U00423,1
U00424,1
U00425,0
U00426,0
U00427,1
U00428,2
U00429,3
U00430,2
U00431,2
U00432,2
U00433,2
U00434,2
U00435,3
U00436,0
U00437,2
U00438,1
U00441,2
U00444,1
U00445,0
U00446,0
U00447,3
U00448,1
U00449,1
U00450,1
U00451,0
U00452,2
U00453,0
U00454,1
U00455,0
U00456,0
U00457,2
U00458,2
U00459,3
U00460,3
U00461,0
U00462,3
U00463,3
U00464,1
U00465,2
U00466,3
U00467,2
U00468,0
U00469,2
U00471,0
U00472,0
U00473,0
U00474,2
U00475,2
U00476,2
U00477,2
U00478,2
U00479,2
U00480,3
U00482,3
